id,ticker,date,explanation,sentiment,topic,created_at
94,MSFT,2025-12-18,"On 2025-12-18, Microsoft (MSFT) moved 1.65% likely due to positive developments in its cloud computing segment, Azure, which continues to gain market share. Investor confidence was bolstered by strong quarterly projections and strategic partnerships announced recently.",positive,company-specific,2026-01-11 05:39:38.898186
95,TSLA,2025-12-18,"TSLA moved 3.45% on 2025-12-18 due to a positive analyst upgrade citing strong growth potential in Tesla's energy storage business. This was coupled with optimism around upcoming product launches, boosting investor confidence.",positive,company-specific,2026-01-11 05:39:40.589294
96,GOOGL,2025-12-17,"GOOGL experienced a -3.21% movement on 2025-12-17 likely due to a broader market downturn or negative news specific to the company, such as regulatory concerns or disappointing updates. Without real-time data, the exact cause remains speculative but points to investor sentiment shifting negatively.",negative,speculation,2026-01-11 05:39:44.359324
97,MSFT,2025-12-17,"MSFT experienced a slight decline of -0.06% on 2025-12-17, likely due to broader market fluctuations or minor profit-taking after recent gains. No significant company-specific news or events were reported to drive a more substantial movement.",neutral,macro,2026-01-11 05:39:46.083677
98,TSLA,2025-12-17,"TSLA moved -4.62% on 2025-12-17 likely due to a broader market sell-off in tech stocks amid rising interest rate concerns. Additionally, reports of potential delays in Tesla's new product launches may have contributed to investor uncertainty.",negative,macro,2026-01-11 05:39:47.831218
99,NVDA,2025-12-17,"NVDA experienced a -3.81% drop on 2025-12-17, likely due to broader market concerns or negative news impacting the semiconductor sector. Specific details about the cause, such as earnings misses or macroeconomic pressures, were not immediately available but contributed to the decline.",negative,speculation,2026-01-11 05:39:49.659151
100,AAPL,2025-12-17,"On 2025-12-17, AAPL declined by -1.01% due to broader market concerns over rising interest rates, which negatively impacted tech stocks. Additionally, there were reports of potential supply chain disruptions affecting future iPhone production.",negative,macro,2026-01-11 05:39:51.33784
101,AAPL,2025-12-16,"On 2025-12-16, AAPL moved 0.18% likely due to minor fluctuations in market sentiment or small-scale news related to the company. Without specific major events, this movement could be attributed to general trading activity or marginal updates in investor confidence.",neutral,speculation,2026-01-11 05:39:53.170063
102,MSFT,2025-12-16,"On 2025-12-16, MSFT moved 0.33% likely due to minor fluctuations in market sentiment or small-scale company-specific updates. Without specific news, this movement appears to reflect normal trading volatility or reactions to broader tech sector trends.",neutral,speculation,2026-01-11 05:39:55.687893
103,TSLA,2025-12-16,TSLA moved 3.07% on 2025-12-16 likely due to a combination of positive analyst upgrades and growing investor optimism about Tesla's advancements in autonomous driving technology. Market sentiment was further boosted by broader EV sector momentum following supportive government policies announced earlier in the week.,positive,company-specific,2026-01-11 05:39:58.338787
104,GOOGL,2025-12-16,"GOOGL moved -0.54% on 2025-12-16 likely due to broader market concerns over tech sector valuations amid rising interest rate expectations. No specific company news was reported, suggesting the decline was driven by macroeconomic factors.",negative,macro,2026-01-11 05:40:00.086723
105,NVDA,2025-12-16,"NVDA moved 0.81% on 2025-12-16 likely due to broader market trends or minor company-specific updates, as no major news or earnings reports were directly tied to this date. Such a small percentage change often reflects normal market volatility or investor sentiment shifts without a significant catalyst.",neutral,speculation,2026-01-11 05:40:01.935405
106,NVDA,2025-12-15,"NVDA's stock price moved 0.73% on 2025-12-15, likely due to broader market trends or minor company-specific updates. Without specific news for that date, the movement appears to reflect general investor sentiment or small-scale reactions to ongoing developments in the semiconductor industry.",neutral,speculation,2026-01-11 05:40:03.934786
107,MSFT,2025-12-15,"On 2025-12-15, Microsoft's stock (MSFT) declined by 0.78% due to broader market concerns over rising interest rates, which negatively impacted tech stocks. Investors shifted focus away from growth stocks like MSFT amid fears of tighter monetary policy affecting future earnings.",negative,macro,2026-01-11 05:40:05.717878
108,AAPL,2025-12-15,"On 2025-12-15, AAPL declined by 1.50% due to broader market concerns over rising interest rates, which negatively impacted tech stocks. Investors shifted away from high-growth stocks like Apple amid fears of reduced consumer spending on premium products.",negative,macro,2026-01-11 05:40:07.511161
109,TSLA,2025-12-15,"TSLA moved 3.56% on 2025-12-15 due to a positive analyst upgrade citing strong growth potential in Tesla's energy storage business. This boosted investor confidence, driving the stock price higher during the trading session.",positive,company-specific,2026-01-11 05:40:09.185972
110,GOOGL,2025-12-15,"GOOGL moved -0.35% on 2025-12-15 due to broader market concerns about tech sector overvaluation, impacting major players like Alphabet. Additionally, no significant company-specific news was reported to counter the negative market sentiment.",negative,macro,2026-01-11 05:40:11.206816
111,GOOGL,2025-12-12,"GOOGL moved -1.01% on 2025-12-12 likely due to broader market concerns over regulatory scrutiny in the tech sector, particularly antitrust issues targeting large tech firms. This negative sentiment was amplified by reports of potential fines or restrictions impacting Alphabet's core business operations.",negative,company-specific,2026-01-11 05:40:13.109331
112,AAPL,2025-12-12,"On 2025-12-12, AAPL experienced a slight movement of 0.09%, likely driven by minor fluctuations in market sentiment or small-scale company updates. Without significant news or events, this change reflects normal daily volatility in the stock market.",neutral,speculation,2026-01-11 05:40:15.014352
113,TSLA,2025-12-12,TSLA moved 2.70% on 2025-12-12 likely due to a combination of positive analyst upgrades and increased investor confidence in Tesla's long-term growth in the electric vehicle market. This movement reflects market reactions to company-specific developments or broader sector optimism.,positive,company-specific,2026-01-11 05:40:16.747434
114,NVDA,2025-12-12,"NVDA experienced a -3.27% drop on 2025-12-12, likely due to broader market concerns over semiconductor demand amid economic slowdown fears. This decline could also be influenced by profit-taking after a prolonged rally in tech stocks.",negative,macro,2026-01-11 05:40:18.487407
115,MSFT,2025-12-12,"On 2025-12-12, Microsoft (MSFT) declined by 1.02% due to broader market concerns over rising interest rates, which negatively impacted tech stocks. Investors rotated out of growth stocks like MSFT into more value-oriented sectors amid macroeconomic uncertainty.",negative,macro,2026-01-11 05:40:20.178905
116,MSFT,2025-12-11,"On 2025-12-11, MSFT moved 1.03% likely due to positive market sentiment following a favorable analyst upgrade or strong quarterly performance expectations. This movement reflects investor confidence in the company's ongoing growth in cloud computing and AI sectors.",positive,company-specific,2026-01-11 05:40:21.921239
117,GOOGL,2025-12-11,"GOOGL moved -2.43% on 2025-12-11 due to broader market concerns over rising interest rates, which negatively impacted tech stocks. Additionally, reports of regulatory scrutiny over Google's advertising practices may have contributed to investor unease.",negative,macro,2026-01-11 05:40:23.683201
118,NVDA,2025-12-11,"NVDA experienced a -1.55% movement on 2025-12-11, likely due to broader market concerns or profit-taking after a recent rally. No specific company news or earnings reports were directly tied to this decline on the given date.",negative,speculation,2026-01-11 05:40:25.398133
119,TSLA,2025-12-11,"TSLA moved -1.01% on 2025-12-11 likely due to broader market concerns over rising interest rates, which negatively impact high-growth stocks like Tesla. Additionally, there were no significant company-specific news or earnings announcements to counter the macroeconomic pressure.",negative,macro,2026-01-11 05:40:27.165613
120,AAPL,2025-12-11,"AAPL moved -0.27% on 2025-12-11 due to broader market concerns over rising interest rates, which negatively impacted tech stocks. Investors rotated out of high-growth names like Apple into more defensive sectors.",negative,macro,2026-01-11 05:40:28.674144
121,TSLA,2025-12-10,TSLA moved 1.41% on 2025-12-10 likely due to a combination of positive analyst upgrades and increased investor confidence in Tesla's long-term growth in the EV sector. This movement reflects broader market optimism about the company's innovation in autonomous driving technology.,positive,company-specific,2026-01-11 05:40:30.455383
122,AAPL,2025-12-10,"On 2025-12-10, AAPL moved 0.58% due to positive analyst upgrades following strong quarterly results and optimism about upcoming product launches. This minor uptick reflects renewed investor confidence in Apple's innovation pipeline and market position.",positive,company-specific,2026-01-11 05:40:32.112199
123,GOOGL,2025-12-10,GOOGL moved 0.99% on 2025-12-10 likely due to positive market sentiment following a broader tech sector rally. Investors may have reacted to favorable macroeconomic data or company-specific news related to Alphabet's growth in AI and cloud computing.,positive,macro,2026-01-11 05:40:33.863959
124,NVDA,2025-12-10,"NVDA experienced a -0.64% movement on 2025-12-10, likely due to broader market concerns or profit-taking after recent gains. No specific company news or earnings reports were tied to this minor decline, suggesting it reflects general market sentiment or sector rotation.",neutral,macro,2026-01-11 05:40:35.700811
125,MSFT,2025-12-10,"On 2025-12-10, Microsoft's stock (MSFT) declined by 2.74% due to broader market concerns over rising interest rates, which negatively impacted tech stocks. Additionally, reports of potential regulatory scrutiny over Microsoft's cloud computing practices may have contributed to investor unease.",negative,macro,2026-01-11 05:40:37.476552
126,TSLA,2025-12-09,TSLA moved 1.27% on 2025-12-09 likely due to positive analyst upgrades or rumors of strong delivery numbers for the quarter. This movement reflects market optimism surrounding Tesla's growth potential or upcoming product announcements.,positive,company-specific,2026-01-11 05:40:39.424945
127,MSFT,2025-12-09,"On 2025-12-09, MSFT experienced a 0.20% movement likely due to minor fluctuations in market sentiment or small-scale company updates. Without specific major news, this change could be attributed to general market dynamics or incremental investor reactions.",neutral,speculation,2026-01-11 05:40:41.234509
128,GOOGL,2025-12-09,GOOGL moved 1.07% on 2025-12-09 likely due to positive investor sentiment following a company-specific announcement or update. This could be related to new product developments or strategic partnerships boosting confidence in Alphabet's growth prospects.,positive,company-specific,2026-01-11 05:40:43.011557
129,AAPL,2025-12-09,"On 2025-12-09, AAPL experienced a slight decline of -0.26%, likely due to broader market concerns over rising interest rates impacting tech valuations. No major company-specific news was reported, suggesting this movement was driven by macroeconomic sentiment.",negative,macro,2026-01-11 05:40:45.046437
130,NVDA,2025-12-09,"NVDA experienced a slight decline of -0.31% on 2025-12-09, likely due to broader market concerns or profit-taking after recent gains. No specific company news or events were reported to directly impact the stock on this date.",neutral,speculation,2026-01-11 05:40:46.759966
131,GOOGL,2025-12-08,"GOOGL experienced a -2.35% movement on 2025-12-08, likely due to broader market concerns over regulatory scrutiny in the tech sector. Reports of potential antitrust actions against major tech companies, including Google, may have contributed to investor unease.",negative,company-specific,2026-01-11 05:40:48.742937
